epoch,avg Loss
0,1.5321425688173622
1,1.8046061925310641
2,2.4007621280197053
3,2.7959181197639555
4,2.6848033961257896
5,2.6201906125620007
6,2.881922492776066
7,2.788685693545267
8,2.815658046202734
9,2.8970187441352753
10,2.888399678468704
11,2.9080749949300664
12,3.0102620159462092
13,3.1244189881160853
14,2.787145646605641
15,2.964523785514757
16,2.898638515844941
17,3.093017739672214
18,2.718291070461273
19,2.9174500842392446
20,2.7399252516403796
21,2.838765439102426
22,2.952807795368135
23,2.9102604870684443
24,2.883067464400083
25,2.8818986318819224
26,2.7791230286611244
27,3.017219138084911
28,2.7939881510287523
29,2.8630499464832244
30,2.8789782202243805
31,2.8150083065009674
32,2.639193019506056
33,2.7735659835115074
34,2.783295701304451
35,2.880975156875793
36,2.8241006743535397
37,2.739318426474929
38,2.6700519743561744
39,2.8087582519836722
40,2.740259398967028
41,2.8154338790103792
42,2.757868649326265
43,2.8698697032779457
44,2.914510854575783
45,2.787136297672987
46,2.716667225379497
47,2.8503167717903852
48,2.972607148308307
49,3.02845810495317
50,3.0363267688453197
51,3.1716292737890033
52,2.7578182485327125
53,3.0139755119010805
54,3.115351066906005
55,2.9536651142779737
56,3.113773770397529
57,3.0130967664159836
58,2.9980975719774143
59,2.92555953592062
