epoch,avg Recall
0,0.21001367684478375
1,0.31386959287531807
2,0.3793266539440203
3,0.48877258269720103
4,0.5287725826972011
5,0.558772582697201
6,0.613772582697201
7,0.633772582697201
8,0.6437725826972011
9,0.663772582697201
10,0.698772582697201
11,0.718772582697201
12,0.738772582697201
13,0.748772582697201
14,0.748772582697201
15,0.753772582697201
16,0.753772582697201
17,0.7687725826972011
18,0.7787725826972011
19,0.7787725826972011
20,0.7787725826972011
21,0.7787725826972011
22,0.7787725826972011
23,0.7787725826972011
24,0.7787725826972011
25,0.7787725826972011
26,0.774219147582697
27,0.7644456106870229
28,0.7592070610687024
29,0.7478931297709924
30,0.7448660941475828
31,0.7431714376590333
32,0.7425543893129773
33,0.7481959287531806
34,0.745150445292621
35,0.7339926844783716
36,0.7288062977099237
37,0.7394917302798983
38,0.7493008905852419
39,0.7492633587786262
40,0.7344840966921121
41,0.7347601781170486
42,0.738948473282443
43,0.7336456743002546
44,0.7197690839694658
45,0.7297003816793893
46,0.7401151399491094
47,0.745053435114504
48,0.7400171755725192
49,0.7350407124681934
50,0.7800248091603054
51,0.7750232188295166
52,0.7740076335877863
53,0.7737824427480917
54,0.7584341603053436
55,0.767520038167939
56,0.754363231552163
57,0.7581704834605598
58,0.7691367684478372
59,0.7488524173027991
