epoch,avg F1
0,0.14571924175541906
1,0.22262941833686076
2,0.2663258394883851
3,0.3299948608449188
4,0.34913087936123177
5,0.36348296604553
6,0.38979517349811915
7,0.3993633283504028
8,0.4041472601824173
9,0.41371526944057374
10,0.4304593220408793
11,0.44002762248729005
12,0.4495957773395737
13,0.4543797091715882
14,0.4543797091715882
15,0.45677167508759553
16,0.45677167508759553
17,0.46394757283561744
18,0.4687316502617593
19,0.4687316502617593
20,0.4687316502617593
21,0.4687316502617593
22,0.4687316502617593
23,0.4687316502617593
24,0.4687316502617593
25,0.4687316502617593
26,0.4664242193905856
27,0.4618189735132984
28,0.4593311706172066
29,0.45422490522116177
30,0.45224973076981856
31,0.45324171490006426
32,0.45291251673113103
33,0.4560793861539312
34,0.4538674175431894
35,0.44920050003835355
36,0.4473532985114865
37,0.452814761178011
38,0.4577341837625687
39,0.45760400553251496
40,0.45304513155565146
41,0.4551363508605132
42,0.4586934581956759
43,0.4568029261307145
44,0.44969399389913484
45,0.45436803156204847
46,0.45941764984442907
47,0.46299523733474457
48,0.4607613328065522
49,0.4583786354485045
50,0.4799017138691912
51,0.47750898630235666
52,0.47960222538958214
53,0.4796189521485801
54,0.4722886707344693
55,0.47738555189480086
56,0.4695377133245398
57,0.47344463780028206
58,0.4785322013835876
59,0.46722823568818733
