epoch,avg Accuracy
0,0.6583960999999979
1,0.6037267999999986
2,0.552638099999999
3,0.5090185999999993
4,0.5215925999999996
5,0.5241677999999996
6,0.5037529999999999
7,0.5031857999999999
8,0.49261820000000006
9,0.5023310000000002
10,0.47905580000000036
11,0.4750606000000004
12,0.47106540000000047
13,0.47078100000000034
14,0.4639254000000004
15,0.45521380000000045
16,0.4620690000000004
17,0.4565018000000005
18,0.4527902000000006
19,0.45964540000000054
20,0.45964540000000054
21,0.45964540000000054
22,0.45621780000000056
23,0.45621780000000056
24,0.45621780000000056
25,0.45621780000000056
26,0.46491210000000044
27,0.46191920000000036
28,0.46368240000000055
29,0.4639403000000006
30,0.4692013000000006
31,0.47064530000000054
32,0.4741177000000004
33,0.46932900000000066
34,0.47842140000000066
35,0.49267310000000064
36,0.4891239000000007
37,0.4997649000000008
38,0.4893242000000007
39,0.4960628000000005
40,0.49379150000000066
41,0.48610370000000075
42,0.5028133000000006
43,0.5085369000000006
44,0.5139759000000006
45,0.5273031000000007
46,0.5168701000000009
47,0.5103545000000006
48,0.5158283000000007
49,0.5039785000000007
50,0.5044123000000009
51,0.5028392000000008
52,0.5094470000000009
53,0.5026773000000008
54,0.5116093000000008
55,0.5083726000000008
56,0.5014998000000008
57,0.5064697000000008
58,0.5130980000000008
59,0.5040742000000009
