epoch,avg Precision
0,0.12385542632185081
1,0.19561718697976535
2,0.23338027922095542
3,0.28272524062999205
4,0.29530149217011525
5,0.3047337437102384
6,0.32202624679048486
7,0.3283144983306081
8,0.3314584983306081
9,0.3377466241006697
10,0.34875087564079293
11,0.3550392529509779
12,0.3613275044911012
13,0.36447150449110116
14,0.36447150449110116
15,0.36604350449110123
16,0.36604350449110123
17,0.3707595044911013
18,0.37390363026116297
19,0.37390363026116297
20,0.37390363026116297
21,0.37390363026116297
22,0.37390363026116297
23,0.37390363026116297
24,0.37390363026116297
25,0.37390363026116297
26,0.3721924768605821
27,0.369197297200223
28,0.3680280561751404
29,0.3642729165173019
30,0.3617512014510492
31,0.3613542583069651
32,0.36129008924007144
33,0.36405359182134406
34,0.35879262014017343
35,0.35712106303412644
36,0.35593534681670314
37,0.3596378332047585
38,0.3633420236157767
39,0.36322008427893393
40,0.36026769905280065
41,0.363035743904923
42,0.36694393746752924
43,0.36651779029849807
44,0.3608136696388058
45,0.36404808869438554
46,0.3671970198974972
47,0.3700047248698722
48,0.36864362376533805
49,0.3670733212354552
50,0.38122214168921686
51,0.37964991729922537
52,0.38291660312062575
53,0.3830353397955573
54,0.37845732529331927
55,0.3832977649026273
56,0.3765959269282234
57,0.38086176754278755
58,0.38323077720004184
59,0.3755883138838068
