epoch,step,trainLoss
24,49,0.25181734561920166
49,99,0.12261439114809036
74,149,0.00567173957824707
99,199,0.0013958461349830031
124,249,0.0010520016076043248
149,299,0.0002368287241552025
174,349,0.0002283230423927307
199,399,0.0002267441595904529
224,449,0.00028212464530952275
249,499,0.00030664674704894423
274,549,0.0002259238826809451
299,599,7.923057273728773e-05
324,649,8.745510422158986e-05
349,699,9.342241537524387e-05
374,749,0.00010720410500653088
399,799,9.259909711545333e-05
424,849,8.669973612995818e-05
449,899,4.4991920731263235e-05
474,949,4.915582394460216e-05
499,999,5.50360964552965e-05
524,1049,6.285091512836516e-05
549,1099,6.483319884864613e-05
574,1149,5.250921458355151e-05
599,1199,3.497486613923684e-05
624,1249,3.799055048148148e-05
649,1299,4.1629948100307956e-05
674,1349,4.8292637075064704e-05
699,1399,5.2662533562397584e-05
724,1449,3.669930811156519e-05
749,1499,2.857366416719742e-05
774,1549,3.126360024907626e-05
799,1599,3.391768041183241e-05
824,1649,4.303208697820082e-05
849,1699,4.014370642835274e-05
874,1749,2.9090186217217706e-05
899,1799,2.5851843020063825e-05
