epoch,step,trainLoss
49,49,0.5198433995246887
99,99,0.14980557560920715
149,149,0.05525538697838783
199,199,0.007634395267814398
249,249,0.014560030773282051
299,299,0.005765912588685751
349,349,0.009132469072937965
399,399,0.006321110762655735
449,449,0.003028129693120718
499,499,0.003358792047947645
549,549,0.011874714866280556
599,599,0.003919112496078014
649,649,0.003918549045920372
699,699,0.009590128436684608
749,749,0.0027464069426059723
799,799,0.0029873501043766737
849,849,0.004201456438750029
899,899,0.0025579980574548244
949,949,0.0037442902103066444
999,999,0.005951550789177418
1049,1049,0.00211349967867136
1099,1099,0.0027566414792090654
1149,1149,0.005907456390559673
1199,1199,0.002091444795951247
1249,1249,0.0023817382752895355
1299,1299,0.00578272296115756
1349,1349,0.002050980692729354
1399,1399,0.0024452810175716877
1449,1449,0.005468692164868116
1499,1499,0.0019160229712724686
1549,1549,0.002347193192690611
1599,1599,0.005046974401921034
1649,1649,0.0018379812827333808
1699,1699,0.0021019484847784042
1749,1749,0.0047424184158444405
1799,1799,0.001816233852878213
1849,1849,0.0020503010600805283
1899,1899,0.004564401227980852
1949,1949,0.0017871521413326263
1999,1999,0.0021453620865941048
2049,2049,0.0043106116354465485
2099,2099,0.0016681458801031113
2149,2149,0.0021848944015800953
2199,2199,0.004036432597786188
2249,2249,0.0015910806832835078
2299,2299,0.002231310121715069
2349,2349,0.003998107742518187
2399,2399,0.0016119746724143624
2449,2449,0.0020578086841851473
2499,2499,0.00404537795111537
2549,2549,0.00161492929328233
2599,2599,0.0019942319486290216
2649,2649,0.003911202307790518
2699,2699,0.001568977371789515
