epoch,step,trainLoss
49,49,0.161142498254776
99,99,0.06438714265823364
149,149,0.03528207913041115
199,199,0.03920235484838486
249,249,0.05394649878144264
299,299,0.028647277504205704
349,349,0.031555309891700745
399,399,0.0416545532643795
449,449,0.02288484014570713
499,499,0.024793531745672226
549,549,0.031387168914079666
599,599,0.0013853005366399884
649,649,0.006260675378143787
699,699,0.013325976207852364
749,749,0.0005558683187700808
799,799,0.0008965857559815049
849,849,0.02463178150355816
899,899,0.0017874338664114475
