epoch,step,trainLoss
16,49,1.2362515926361084
33,99,0.6082371473312378
49,149,0.11684146523475647
66,199,0.08222156763076782
83,249,0.01022630836814642
99,299,0.0060686515644192696
116,349,0.050566237419843674
133,399,0.006363053806126118
149,449,0.004009224008768797
166,499,0.06567205488681793
183,549,0.012213416397571564
199,599,0.0035961417015641928
216,649,0.07838825136423111
233,699,0.004943125415593386
249,749,0.002314917976036668
266,799,0.03965039551258087
283,849,0.006565430201590061
299,899,0.0017009037546813488
316,949,0.043972376734018326
333,999,0.01727084442973137
349,1049,0.002308526076376438
366,1099,0.0643453299999237
383,1149,0.003322448581457138
399,1199,0.0019159982912242413
416,1249,0.025838231667876244
433,1299,0.005117472261190414
449,1349,0.001388022443279624
466,1399,0.03506552800536156
483,1449,0.019184859469532967
499,1499,0.001553548383526504
516,1549,0.0640745609998703
533,1599,0.003180692670866847
549,1649,0.001765758148394525
566,1699,0.022157233208417892
583,1749,0.0034788772463798523
599,1799,0.001075869775377214
616,1849,0.0318831168115139
633,1899,0.015683280304074287
649,1949,0.001557622686959803
666,1999,0.06536833196878433
683,2049,0.00307650538161397
699,2099,0.002396719064563513
716,2149,0.021252501755952835
733,2199,0.003271113382652402
749,2249,0.001052212086506188
766,2299,0.029139066115021706
783,2349,0.00946548767387867
799,2399,0.0015855845995247364
816,2449,0.06712332367897034
833,2499,0.0033835149370133877
849,2549,0.0027377628721296787
866,2599,0.016456903889775276
883,2649,0.004778723232448101
899,2699,0.000543748727068305
