epoch,step,trainLoss
49,49,2.6073262691497803
99,99,2.847592353820801
149,149,0.3509584069252014
199,199,0.6462082862854004
249,249,0.13058044016361237
299,299,0.09472112357616425
349,349,0.10672247409820557
399,399,0.08253658562898636
449,449,0.04409094527363777
499,499,0.11792107671499252
549,549,0.1558988243341446
599,599,0.06917763501405716
649,649,0.09543749690055847
699,699,0.1677081435918808
749,749,0.03997105732560158
799,799,0.04806304723024368
849,849,0.10273338109254837
899,899,0.07483647763729095
949,949,0.1005023643374443
999,999,0.1434023529291153
1049,1049,0.061365678906440735
1099,1099,0.0479985736310482
1149,1149,0.057905327528715134
1199,1199,0.038156308233737946
1249,1249,0.04736104980111122
1299,1299,0.06748997420072556
1349,1349,0.044588424265384674
1399,1399,0.06151925399899483
1449,1449,0.06143564358353615
1499,1499,0.04952773451805115
1549,1549,0.05188581719994545
1599,1599,0.051090359687805176
1649,1649,0.049092553555965424
1699,1699,0.04239461198449135
1749,1749,0.05228828638792038
1799,1799,0.03940444067120552
1849,1849,0.05051199346780777
1899,1899,0.07281619310379028
1949,1949,0.041132956743240356
1999,1999,0.055761292576789856
2049,2049,0.06000177189707756
2099,2099,0.041186507791280746
2149,2149,0.06524108350276947
2199,2199,0.061453454196453094
2249,2249,0.04725861921906471
2299,2299,0.050820495933294296
2349,2349,0.07111895829439163
2399,2399,0.04195254296064377
2449,2449,0.048689719289541245
2499,2499,0.07155159115791321
2549,2549,0.041771624237298965
2599,2599,0.0444619320333004
2649,2649,0.04583866894245148
2699,2699,0.029174264520406723
2749,2749,0.03689681366086006
2799,2799,0.04982002079486847
2849,2849,0.03246177360415459
2899,2899,0.03555528447031975
2949,2949,0.05251244455575943
2999,2999,0.029198037460446358
3049,3049,0.0372697077691555
3099,3099,0.0515756718814373
3149,3149,0.03515779972076416
3199,3199,0.04483531787991524
3249,3249,0.041841231286525726
3299,3299,0.02545280009508133
3349,3349,0.029274607077240944
3399,3399,0.048613205552101135
3449,3449,0.028564654290676117
3499,3499,0.03280169144272804
3549,3549,0.045972008258104324
3599,3599,0.0279306098818779
