epoch,step,trainLoss
49,49,0.14753346145153046
99,99,0.053492214530706406
149,149,0.0372050479054451
199,199,0.03532131761312485
249,249,0.040206097066402435
299,299,0.020687131211161613
349,349,0.024512792006134987
399,399,0.03383782505989075
449,449,0.018780797719955444
499,499,0.0362604521214962
549,549,0.05993689224123955
599,599,0.02570551261305809
649,649,0.03524429351091385
699,699,0.054371338337659836
749,749,0.023634476587176323
799,799,0.02870773710310459
849,849,0.04041307047009468
899,899,0.02096891961991787
