epoch,avg Accuracy
0,0.7380302999999987
1,0.8753724999999997
2,0.8875023000000006
3,0.8938123000000004
4,0.8976193999999995
5,0.8999823
6,0.9013076000000001
7,0.9024971999999998
8,0.9038501999999994
9,0.9042211000000002
10,0.904321
11,0.9038021000000009
12,0.9043527000000003
13,0.9063319000000001
14,0.9058725000000003
15,0.9051991000000004
16,0.9050154999999995
17,0.905698
18,0.9050853999999999
19,0.903537
20,0.9024622000000005
21,0.9017658000000002
22,0.9004985999999997
23,0.8993327000000003
24,0.8981075000000004
25,0.8981291999999995
26,0.8963342999999998
27,0.8962114999999997
28,0.8955023000000001
29,0.8939204999999991
