epoch,avg Loss
0,0.36485205334145576
1,0.15548667329596355
2,0.047130261432612314
3,0.0408590495972021
4,0.037789370625978334
5,0.03467191192925384
6,0.0325295551563795
7,0.030651264937951055
8,0.027306422127221595
9,0.02424240075968555
10,0.02225226888229372
11,0.02011115653876004
12,0.01817294392310032
13,0.01750869204818173
14,0.015584436650888165
15,0.014650615467908211
16,0.014544871408920699
17,0.013892268458305353
18,0.01333794436902508
19,0.01346177635168715
20,0.012243107304793738
21,0.012469462246167495
22,0.011691024994514692
23,0.011075452120567207
24,0.010825992731406586
25,0.011133180910907186
26,0.0108956526831588
27,0.010056560799188787
28,0.01010783151480041
29,0.009652646194857652
