epoch,avg Recall
0,0.25794020356234093
1,0.753412849872774
2,0.8093056615776076
3,0.8106736641221377
4,0.811303117048346
5,0.8134351145038168
6,0.8165069974554711
7,0.8206437659033081
8,0.8265626590330801
9,0.8329745547073791
10,0.8400524809160302
11,0.8460095419847327
12,0.8514064885496184
13,0.8586386768447833
14,0.8641981552162847
15,0.8681552162849873
16,0.8715636132315523
17,0.8760308524173026
18,0.877490776081425
19,0.8815973282442748
20,0.8861444020356241
21,0.8867649491094147
22,0.8890741094147591
23,0.8899611959287539
24,0.8910512086513995
25,0.8926895674300261
26,0.894203880407125
27,0.8945550254452921
28,0.8968953562340972
29,0.8965251272264629
