epoch,avg F1
0,0.2596095426411328
1,0.7840571365275565
2,0.8192950372741481
3,0.8283203612375223
4,0.8332930441126486
5,0.836722157191511
6,0.838759169347763
7,0.841077043592489
8,0.84367799980171
9,0.8451028267352092
10,0.8465002406629134
11,0.8470505859404018
12,0.8485331835002679
13,0.8519825174862948
14,0.8530991159758983
15,0.852799425483944
16,0.8532037169765491
17,0.855121749029237
18,0.8546412033247656
19,0.8534049022416123
20,0.8535870734612012
21,0.8523072149714518
22,0.8513985694420301
23,0.850251544214484
24,0.8490064667966726
25,0.8492206728296388
26,0.847406516831595
27,0.8474276059451438
28,0.8466796044853679
29,0.8449465554284024
