epoch,avg F1
0,0.6023146081216807
1,0.9737315224452102
2,0.9775070755223899
3,0.9785578526032593
4,0.9795923960447142
5,0.9804729844334371
6,0.9811644237594411
7,0.9818491561198379
8,0.9823612028861901
9,0.982822911407609
10,0.9830318338692298
11,0.983162504718264
12,0.9832614297585363
13,0.9832168878106663
14,0.9833028420084388
15,0.9831751162998154
16,0.9834204897906829
17,0.9835501183907235
18,0.9835019163333051
19,0.9834902405496586
20,0.9833750763748433
21,0.9833401266717995
22,0.9831807164124023
23,0.983096939213465
24,0.9829240705848632
25,0.9829171192601901
26,0.9829023532708799
27,0.9829902744337731
28,0.9830240606711633
29,0.98296441755704
