epoch,avg Precision
0,0.750573273300621
1,0.9903746763427366
2,0.9800207960763769
3,0.9794767341589619
4,0.9819798637538582
5,0.9836318843124378
6,0.9850201386398594
7,0.9863378931882988
8,0.9877193910076213
9,0.9888635421495333
10,0.9896626527093738
11,0.9902532518415312
12,0.99072253021325
13,0.9908781021992644
14,0.9912225906494534
15,0.9912589290780925
16,0.991771712243651
17,0.9922347885555645
18,0.9924444748824867
19,0.9925689345819051
20,0.9924154862134492
21,0.9925057378692637
22,0.9923048047847307
23,0.9922191876981888
24,0.9919915513959239
25,0.9921318129395034
26,0.9922909759612654
27,0.992402417297007
28,0.992491908428158
29,0.9924797214066367
