epoch,avg Recall
0,0.5791269083969469
1,0.9586405852417308
2,0.976684796437659
3,0.9792013358778618
4,0.9785912849872783
5,0.9784720101781167
6,0.9783091603053425
7,0.9782026081424928
8,0.9776606234096691
9,0.9773514631043255
10,0.9769411577608145
11,0.976570610687023
12,0.9762786259541979
13,0.9760340330788803
14,0.9758498727735369
15,0.9755671119592871
16,0.9755101781170487
17,0.9752821246819338
18,0.9749802798982192
19,0.9748291984732818
20,0.9747604961832059
21,0.9745998727735373
22,0.9744942748091597
23,0.9744214376590327
24,0.9743027989821891
25,0.9741475826972009
26,0.973950699745547
27,0.9740050890585239
28,0.9739780534351143
29,0.9738711832061068
