epoch,avg Accuracy
0,0.8622097999999996
1,0.9855474999999995
2,0.9856814999999998
3,0.9861161000000004
4,0.9868306000000007
5,0.9874888000000013
6,0.9879607999999998
7,0.9884495999999993
8,0.9888531999999999
9,0.9891838000000007
10,0.9893344000000001
11,0.9894388000000005
12,0.989515999999999
13,0.9894930000000008
14,0.9895542999999997
15,0.9894738000000003
16,0.9896417000000006
17,0.9897365
18,0.9897160000000009
19,0.9897117999999996
20,0.989639
21,0.9896185999999999
22,0.9895149999999995
23,0.9894592999999999
24,0.9893492999999995
25,0.9893473000000003
26,0.9893453000000001
27,0.9894017999999999
28,0.9894240999999994
29,0.9893866999999996
