epoch,avg Accuracy
0,0.6348798000000012
1,0.9480739999999998
2,0.9575914999999996
3,0.9577097999999995
4,0.9601088000000001
5,0.9583788999999997
6,0.9591601
7,0.9621405000000008
8,0.9603106999999997
9,0.9599368999999998
10,0.962135299999999
11,0.965540099999999
12,0.9669238000000007
13,0.9650764000000008
14,0.9683969999999995
15,0.9689139
16,0.9695555000000007
17,0.9691119000000006
18,0.9703841000000005
19,0.9710897999999996
20,0.9719131000000008
21,0.9739837
22,0.9726225
23,0.9718814
24,0.973072400000001
25,0.9728306999999998
26,0.9725072999999995
27,0.9737354999999996
28,0.9726980000000001
29,0.9726331
