epoch,step,trainLoss
12,49,1.041229009628296
24,99,0.12181632220745087
37,149,0.23863264918327332
49,199,0.1186889111995697
62,249,0.09235318005084991
74,299,0.10517261177301407
87,349,0.03257443755865097
99,399,0.08799687772989273
112,449,0.03480971232056618
124,499,0.08957138657569885
137,549,0.027904054149985313
149,599,0.018925704061985016
162,649,0.031173232942819595
174,699,0.027706747874617577
187,749,0.03707106411457062
199,799,0.05990464985370636
212,849,0.07448999583721161
224,899,0.046950675547122955
237,949,0.030705619603395462
249,999,0.0600566528737545
262,1049,0.02323014847934246
274,1099,0.031448423862457275
287,1149,0.03316906839609146
299,1199,0.03511421009898186
312,1249,0.03772743046283722
324,1299,0.033795151859521866
337,1349,0.024796292185783386
349,1399,0.031277481466531754
362,1449,0.04547083005309105
374,1499,0.029130814597010612
387,1549,0.018443135544657707
