epoch,avg Recall
0,0.8419802798982192
1,0.9361339058524174
2,0.9809914122137403
3,0.9841224554707391
4,0.9845305343511446
5,0.9844618320610691
6,0.9844942748091602
7,0.9844716921119585
8,0.9845133587786257
9,0.9846351781170484
10,0.9846405852417301
11,0.9847853053435104
12,0.9846631679389313
13,0.9846892493638671
14,0.9845884223918578
15,0.9846090966921119
16,0.9845725190839698
17,0.9845527989821882
18,0.9845756997455475
19,0.984479643765903
20,0.9845365776081434
21,0.9843533715012712
22,0.9843492366412211
23,0.9843126590330791
24,0.9842089694656485
25,0.9841673027989825
26,0.984209605597965
27,0.9840636132315516
28,0.9840601145038167
29,0.9840022264631041
