epoch,step,trainLoss
16,49,2.4168076515197754
33,99,0.7049115896224976
49,149,0.0826072245836258
66,199,0.056325994431972504
83,249,0.04389018937945366
99,299,0.008594254031777382
116,349,0.008732092566788197
133,399,0.049900755286216736
149,449,0.0033587433863431215
166,499,0.020250331610441208
183,549,0.06516788899898529
199,599,0.003967263735830784
216,649,0.029808010905981064
233,699,0.044135771691799164
249,749,0.0016330393264070153
266,799,0.00773272942751646
283,849,0.04792672395706177
299,899,0.0032448843121528625
316,949,0.016458427533507347
333,999,0.059070099145174026
349,1049,0.0034054194111377
366,1099,0.02991608716547489
383,1149,0.042631521821022034
