epoch,step,trainLoss
16,49,0.5033197999000549
33,99,0.4327927231788635
49,149,0.049822788685560226
66,199,0.1001366376876831
83,249,0.006222004536539316
99,299,0.01107448898255825
116,349,0.03194614127278328
133,399,0.003879319876432419
149,449,0.003972208593040705
166,499,0.03907512128353119
183,549,0.003055779729038477
199,599,0.005264132749289274
216,649,0.0676032155752182
233,699,0.0015895372489467263
249,749,0.008969304151833057
266,799,0.023705309256911278
283,849,0.0026131276972591877
299,899,0.002946264808997512
316,949,0.026286322623491287
333,999,0.003695176914334297
349,1049,0.0030918088741600513
366,1099,0.050804246217012405
383,1149,0.0010660713305696845
399,1199,0.006733431480824947
416,1249,0.017206327989697456
433,1299,0.001903215772472322
449,1349,0.0023910312447696924
466,1399,0.020531434565782547
483,1449,0.0026383677031844854
499,1499,0.0031113652512431145
516,1549,0.033998630940914154
533,1599,0.0014632444363087416
549,1649,0.012031225487589836
566,1699,0.008117573335766792
583,1749,0.0038014526944607496
599,1799,0.0019390948582440615
616,1849,0.01869722083210945
633,1899,0.002460276475176215
649,1949,0.003396985586732626
666,1999,0.03167498856782913
683,2049,0.0013609055895358324
699,2099,0.009587342850863934
716,2149,0.004241424612700939
733,2199,0.004168911837041378
749,2249,0.0011678567389026284
766,2299,0.01358454953879118
783,2349,0.001567941508255899
799,2399,0.0022170566953718662
816,2449,0.04283566772937775
833,2499,0.0008692297851666808
849,2549,0.0035381647758185863
866,2599,0.002503007184714079
883,2649,0.0018336090724915266
899,2699,0.0008250509272329509
