epoch,step,trainLoss
16,49,0.6931473016738892
33,99,0.6931473016738892
49,149,0.6931472420692444
66,199,0.19356678426265717
66,199,0.0794038400053978
66,199,0.2435723841190338
66,199,0.10909874737262726
66,199,0.08688739687204361
66,199,0.09053658694028854
66,199,0.10165132582187653
66,199,0.3171927332878113
66,199,0.07448719441890717
66,199,0.11765311658382416
66,199,0.2011871635913849
66,199,0.12617669999599457
66,199,0.1766626536846161
66,199,0.6057206392288208
66,199,0.1591140180826187
66,199,0.15389655530452728
66,199,0.05622739717364311
66,199,0.113043412566185
66,199,0.1952485591173172
66,199,0.4918975830078125
66,199,0.25328129529953003
66,199,0.19606736302375793
66,199,0.04467828571796417
66,199,0.1748219132423401
66,199,0.02400631085038185
66,199,0.3146741986274719
66,199,0.0735049769282341
66,199,0.05447588488459587
66,199,0.09075106680393219
66,199,0.027074050158262253
66,199,0.14322130382061005
