epoch,step,trainLoss
24,49,1.9187601804733276
49,99,2.063918113708496
74,149,0.31996849179267883
99,199,0.6586470007896423
124,249,0.10243060439825058
149,299,0.03280266746878624
174,349,0.03268355131149292
199,399,0.02983984351158142
224,449,0.04597311466932297
249,499,0.021502047777175903
274,549,0.0558963418006897
299,599,0.018366318196058273
324,649,0.011790966615080833
349,699,0.011052264831960201
374,749,0.05093146115541458
399,799,0.01313512772321701
424,849,0.048616018146276474
449,899,0.02727559581398964
474,949,0.036314018070697784
499,999,0.029095755890011787
524,1049,0.03019591234624386
549,1099,0.016774412244558334
574,1149,0.05052826926112175
599,1199,0.022492380812764168
624,1249,0.0239260271191597
649,1299,0.022591138258576393
674,1349,0.014136945828795433
699,1399,0.022651907056570053
724,1449,0.04294351488351822
749,1499,0.008081051521003246
774,1549,0.007514266297221184
