epoch,avg Recall
0,0.5397942111959287
1,0.8125826972010176
2,0.8244042620865143
3,0.8279017175572514
4,0.8291526717557248
5,0.8312932569974554
6,0.829703562340967
7,0.8314446564885496
8,0.8329211195928753
9,0.8338123409669211
10,0.834647582697201
11,0.835074745547074
12,0.8347118320610681
13,0.8362903944020359
14,0.8377458651399491
15,0.8394277989821881
16,0.8393199745547077
17,0.8395540712468188
18,0.8390098600508906
19,0.8376234096692106
20,0.8369513358778632
21,0.8357719465648858
22,0.8373040712468197
23,0.8368835877862592
24,0.8358870865139956
25,0.8346905216284987
26,0.8339338422391853
27,0.8332639949109416
28,0.8315508905852421
29,0.8302477735368962
