epoch,avg Precision
0,0.7433497626507928
1,0.9440338224163242
2,0.9418654912761116
3,0.9409988921584955
4,0.9417173111726107
5,0.9414280510668668
6,0.9427482388112135
7,0.9431935949270056
8,0.9443514295357006
9,0.9445804444454283
10,0.9437927442052826
11,0.9430930393881127
12,0.9431882543627998
13,0.9430970085679811
14,0.9412760713213424
15,0.9401031010734492
16,0.9403158384757683
17,0.9407661862292503
18,0.9400670810506747
19,0.9387424929517414
20,0.9376405943103266
21,0.9368068414428535
22,0.9351398680266166
23,0.9333914077280032
24,0.932802879477125
25,0.93232893240015
26,0.9327540586723483
27,0.9330353630942133
28,0.933271596845653
29,0.9331774414915435
