epoch,avg Loss
0,0.2576720993965864
1,0.11004145228071138
2,0.08725461488647852
3,0.08384870347072138
4,0.07904000784852543
5,0.07554067154909717
6,0.07104723137948894
7,0.06787321241456085
8,0.06392959178949241
9,0.059901292560389265
10,0.05663004252011888
11,0.05408089020376792
12,0.050742505463131235
13,0.048175280351133554
14,0.04591857923354837
15,0.043760028995820904
16,0.0421169751463458
17,0.041226142530722425
18,0.0399438351108256
19,0.03883614603357273
20,0.038366710564660025
21,0.03776962652096699
22,0.03655202070272935
23,0.035840568047642594
24,0.03509194882150041
25,0.03462654740869766
26,0.034097412551636806
27,0.03340794899093453
28,0.0326810737948108
29,0.032070416351634774
