epoch,avg F1
0,0.5896420888647574
1,0.8709197603725417
2,0.8755025731424704
3,0.8771096774644523
4,0.8784389268213014
5,0.8797406723449039
6,0.8792513287731366
7,0.880185574615393
8,0.88180158925924
9,0.8829022052525829
10,0.883278588784461
11,0.8832300587546941
12,0.8829684526444977
13,0.883892528308134
14,0.8836281406755364
15,0.8839724493763208
16,0.8841585679700174
17,0.8844542165317505
18,0.8837537052704447
19,0.8820846836457481
20,0.8812136612223374
21,0.8800304919618271
22,0.8800710439407627
23,0.8789717094721261
24,0.878047368012095
25,0.8771507492272939
26,0.8769006222250125
27,0.8767888561392511
28,0.8759524260445596
29,0.8751208626755097
