epoch,avg Accuracy
0,0.8438787000000005
1,0.9267180000000006
2,0.9277409000000002
3,0.9284212000000003
4,0.9292214000000003
5,0.9297719999999998
6,0.9297858999999997
7,0.9303602999999997
8,0.9311908999999998
9,0.9316136
10,0.9316443000000005
11,0.9314634000000004
12,0.9313434000000005
13,0.9319116000000004
14,0.9316800999999996
15,0.9317335000000005
16,0.9318593999999999
17,0.9321065000000007
18,0.9317813000000008
19,0.9309569000000006
20,0.9303823999999997
21,0.9297380000000003
22,0.9296242999999997
23,0.9289543
24,0.9284445999999997
25,0.9279554999999994
26,0.9278588999999995
27,0.9278227999999994
28,0.9274163999999995
29,0.9270161000000008
