epoch,avg Loss
0,1.423596532298252
1,0.17042838531779125
2,0.03951131933368743
3,0.03370608256824198
4,0.03285559894371545
5,0.03377510013087885
6,0.030289749507137458
7,0.03250878290855326
8,0.03217298757408571
9,0.03201575662911637
10,0.031517532080761156
11,0.029625187231067683
12,0.029005872824855033
13,0.02815300714697514
14,0.029949386924345164
15,0.029075725795846667
16,0.024670654771762203
17,0.026399417640423053
18,0.025094185781526904
19,0.022282894096024394
20,0.02271921538798779
21,0.02282382946435973
22,0.02217108374759846
23,0.023030234218385886
24,0.02217200939234317
25,0.023552843389043118
26,0.0227940495227449
27,0.0217485642347674
28,0.020972524201679336
29,0.021910526266692612
