epoch,avg F1
0,0.6458115670573749
1,0.9450110228240227
2,0.9727642667694296
3,0.9729716940256248
4,0.9741419745719267
5,0.9752636494661641
6,0.9763227104334347
7,0.9772112864054643
8,0.9776301382008573
9,0.9777286532567644
10,0.9783497010159992
11,0.9785114840729985
12,0.9786512305955907
13,0.9789470585479794
14,0.9792111957053418
15,0.9791248882578354
16,0.9792050976492063
17,0.9790785386654686
18,0.9790948167619998
19,0.9790451636163848
20,0.9789521723771031
21,0.97862455504549
22,0.9784022731774443
23,0.9785898227484676
24,0.9789081164770492
25,0.9789692640793602
26,0.9790263888262922
27,0.9793096411340944
28,0.9792533706926093
29,0.9794542792051979
