epoch,avg Loss
0,1.4235965611878783
1,0.17042838748311623
2,0.0395113189436961
3,0.03370608200013521
4,0.03285559845680837
5,0.033775100402417595
6,0.030289749761359418
7,0.03250878244303749
8,0.03217298744086292
9,0.032015756588371004
10,0.03151753249243484
11,0.029625187923011255
12,0.029005872615161934
13,0.02815300695830956
14,0.029949387406959432
15,0.02907572529889876
16,0.024670654848705453
17,0.026399418257897198
18,0.025094185751440817
19,0.02228289394413878
20,0.022719215482356957
21,0.022823829462031427
22,0.022171083870489383
23,0.023030234161669796
24,0.022172009318019263
25,0.02355284325181856
26,0.022794049619551515
27,0.02174856411977089
28,0.02097252378000121
29,0.02191052646256139
