epoch,avg Accuracy
0,0.6840150000000013
1,0.9766725000000005
2,0.9825344000000006
3,0.9820042000000003
4,0.9827615000000001
5,0.9835450999999996
6,0.9843274999999992
7,0.9849634000000006
8,0.9852742999999998
9,0.9853492000000001
10,0.9858135999999998
11,0.9859280999999993
12,0.9860467000000006
13,0.9862496000000004
14,0.9864400999999994
15,0.9863817000000007
16,0.9864273000000003
17,0.9863311000000005
18,0.9863250000000007
19,0.9862842999999999
20,0.9862073000000006
21,0.9859815999999995
22,0.9858315999999996
23,0.9859500000000001
24,0.9861941000000002
25,0.9862489999999997
26,0.9862997
27,0.9865372999999994
28,0.9864797999999998
29,0.9866240999999992
