epoch,step,trainLoss
49,49,0.6024690866470337
99,99,0.28000324964523315
149,149,0.0020693554542958736
199,199,0.0003345007135067135
249,249,0.0002651124377734959
299,299,6.890176155138761e-05
349,349,7.653507782379165e-05
399,399,0.000123653604532592
449,449,2.6762118068290874e-05
499,499,3.919372466043569e-05
549,549,7.268954504979774e-05
599,599,2.020427564275451e-05
649,649,3.095070496783592e-05
699,699,5.888159648748115e-05
749,749,1.5690795407863334e-05
799,799,2.4139579181792215e-05
849,849,4.6809356717858464e-05
899,899,1.3704501725442242e-05
949,949,2.1223493604338728e-05
999,999,4.220063783577643e-05
1049,1049,1.1341207027726341e-05
1099,1099,1.7499763998785056e-05
1149,1149,3.5189925256418064e-05
1199,1199,9.424935342394747e-06
1249,1249,1.4923393791832495e-05
1299,1299,3.128892421955243e-05
1349,1349,7.890130291343667e-06
1399,1399,1.2555629837152082e-05
1449,1449,2.689767825359013e-05
1499,1499,7.286636446224293e-06
1549,1549,1.1564713531697635e-05
1599,1599,2.443308403599076e-05
1649,1649,6.483470315288287e-06
1699,1699,1.0029912118625361e-05
1749,1749,2.1597463273792528e-05
1799,1799,6.061770363885444e-06
