epoch,avg Loss
0,1.2076591179240495
1,0.13210092523600905
2,0.01345230359933339
3,0.006981868831790052
4,0.006360445514110325
5,0.005674253037759627
6,0.005423835068941116
7,0.005155692183489009
8,0.004915965520885948
9,0.004645172844138869
10,0.004439953617957144
11,0.004320735489700383
12,0.004228177949917153
13,0.004238394876520033
14,0.004123321148508694
15,0.004077119152889282
16,0.004024729571192438
17,0.003915413538106804
18,0.0038619464762768983
19,0.0037703765089599985
20,0.0035966996870229195
21,0.003396415899164822
22,0.0033947838368885643
23,0.003259667400393482
24,0.0031698251493253336
25,0.003258675203023813
26,0.0031623016843832373
27,0.0030693699494622707
28,0.0030061972743760635
29,0.002938716741755343
