epoch,avg Precision
0,0.6539341226364621
1,0.9650641633658849
2,0.967389466761766
3,0.9645699431159052
4,0.9664082211438693
5,0.9685352176060319
6,0.9703245054069773
7,0.9719059297590831
8,0.9725830907866303
9,0.9726079463371994
10,0.9736608776889607
11,0.9737847480839587
12,0.9741121425776087
13,0.9746268335738325
14,0.9752003577628361
15,0.9750074541975847
16,0.9752121168685932
17,0.9750178688604627
18,0.9750593924874289
19,0.9750784616673731
20,0.9748770249270329
21,0.9744570178470039
22,0.9740461705164718
23,0.9744488917196718
24,0.9750924443338902
25,0.9752164317029972
26,0.9752582584264416
27,0.9758429402061298
28,0.9757777685664577
29,0.9761939583701518
