epoch,step,trainLoss
49,49,0.6655129790306091
99,99,0.04393381252884865
149,149,0.053905781358480453
199,199,0.03608151152729988
249,249,0.03743557631969452
299,299,0.028563549742102623
349,349,0.03063425049185753
399,399,0.03737480938434601
449,449,0.025139814242720604
499,499,0.02688494138419628
549,549,0.033231012523174286
599,599,0.020770477131009102
649,649,0.029541010037064552
699,699,0.0340987890958786
749,749,0.02427581138908863
799,799,0.02485770545899868
849,849,0.03256796672940254
899,899,0.02652982994914055
