epoch,avg Loss
0,1.4235965379606932
1,0.1704283865611069
2,0.03951131979352795
3,0.03370608261218876
4,0.03285559827316319
5,0.03377509991812985
6,0.03028975006811379
7,0.03250878252190887
8,0.03217298764655425
9,0.03201575652186875
10,0.03151753250218462
11,0.02962518772670592
12,0.02900587278571038
13,0.02815300703259709
14,0.029949387406450114
15,0.029075725937436802
16,0.024670654753863347
17,0.026399418206638076
18,0.02509418587840628
19,0.022282893909759877
20,0.022719215587640066
21,0.022823829828339512
22,0.022171084076217085
23,0.02303023422795377
24,0.0221720091500174
25,0.023552843288343867
26,0.022794049702533813
27,0.021748563975415892
28,0.020972523866839766
29,0.02191052639445843
