epoch,avg Precision
0,0.5822068509323423
1,0.9254295993447438
2,0.9214758641982926
3,0.9205536817984948
4,0.9244908977185817
5,0.9215272757678816
6,0.9193308007108791
7,0.9277683718311697
8,0.9239774269929064
9,0.9253361641776394
10,0.9292807905811924
11,0.9339954617748696
12,0.9381953167391088
13,0.9354157897536295
14,0.9392175101266175
15,0.9419004137611434
16,0.9428079894307766
17,0.9439654769829906
18,0.9461418267932438
19,0.9467598718606922
20,0.9469782444297661
21,0.9511784981926827
22,0.9497021800607307
23,0.9470008158404036
24,0.9495750796004293
25,0.9512494984761907
26,0.9493879058938514
27,0.9513117266293114
28,0.9491086868883027
29,0.9482534861585965
