epoch,step,trainLoss
24,49,2.513287305831909
49,99,2.57307767868042
74,149,2.5704185962677
99,199,0.4355289041996002
124,249,0.6819897294044495
149,299,0.08790916949510574
174,349,0.12597782909870148
199,399,0.011478139087557793
224,449,0.01805947721004486
249,499,0.03343572840094566
274,549,0.007276137359440327
299,599,0.0007882628124207258
324,649,0.0010172078618779778
349,699,0.0013724931050091982
374,749,0.0010578540386632085
399,799,0.0019899834878742695
424,849,0.0029095762874931097
449,899,0.0004045673122163862
474,949,0.0004234108200762421
499,999,0.0004706688632722944
524,1049,0.0008715605363249779
549,1099,0.002028339309617877
574,1149,0.0016760730650275946
599,1199,0.0002994668611790985
624,1249,0.00037581281503662467
649,1299,0.00042903341818600893
674,1349,0.0005434391205199063
699,1399,0.0012113263364881277
724,1449,0.002765275537967682
749,1499,0.0002990105131175369
774,1549,0.00034940344630740583
799,1599,0.00043800927232950926
824,1649,0.0006007103365845978
849,1699,0.0007970953010953963
874,1749,0.0028251411858946085
899,1799,0.00028032888076268137
924,1849,0.0003020882431883365
949,1899,0.0003747438604477793
974,1949,0.0005199378356337547
999,1999,0.0007682486902922392
1024,2049,0.0011850660666823387
1049,2099,0.00023964265710674226
1074,2149,0.0002805128169711679
1099,2199,0.0003294660127721727
1124,2249,0.0004082761297468096
1149,2299,0.0008823537500575185
